Procédure,Catégorie,DateDePublication,Référence,Objet,AcheteurPublic,LieuDexécution,link,EXTRAIT_DE_PV
AOO ...,Fournitures,27/01/2024,50/DGSN/DEB/DF/SA/2023,Objet : l’acquisition de matériel de dortoir au profit du centre supérieur de formation policière à Ifrane. (en deux lots),Acheteur public : DIRECTION GENERALE DE LA SURETE NATIONALE,IFRANE,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailConsultation&refConsultation=771473&orgAcronyme=j4k,"ROVAUME DU MAROC
MINISTERE DE L’INTERIEUR
DIRECTION GENERALE DE
LA SURETE NATIONALE
Extrait du procés-verbal de la séance d’ouverture des plis relative a l’Appel d’Offres
Ouvert International N°50/DGS5N/DEB/DF/$ A/2023.
Objet : acquisition de matériel de dortoir au profit du centre supérieur de formation
policiére & ifrane en deux lots
Maitre d’ouvrage : Direction Générale de la Sdreté Nationale
Date d’ouverture des plis : 12 Décembre 2023 @ 10H30.
Lieu d’ouverture des plis : Salle des réunions de la Direction de I'Equipement et du
Budget sise rue Abou Marouane Saadi, Agdal Rabat.
Journaux ayant publié l’avis de publicité, avec indication de la date :
pee ‘ion
DU
LES INSPIRATIONS ECO 16/11/2023
Date de publication au portail des marchés publics : 16/11/2023
Autres sites électroniques de publication de l’avis, le cas échéant : Néant.
Liste des concurrents ayant déposé leurs plis :
“* Société NISAHI EQUIPEMENTS 3E
“* Société VELSATIS TRAV
“ Société RICHBOND
** Société ETS AIT BENNANI
“* Société FASHION MOROCCAN COMPANY
“* Société ALFA EQUIPE
Liste des concurrents écartés &@ Ilissue de lexamen des dossiers administratifs et
techniques :
“+ Société NISAHI EQUIPEMENTS 3E (lot 1)
“ Société FASHION MOROCCAN COMPANY (lots 1 et 2)
Liste des concurrents admis sans réserve :
“+ Société VELSATIS TRAV (lots 1 et 2)
“ Société ETS AIT BENNANI (lots 1 et 2)
“+ Société ALFA EQUIPE (lot 2)
Liste des concurrents admis avec réserve :
“ Société RICHBOND (lot 2)
Page 1/2
Montant des actes d’engagement des concurrents
Lot n°1: LITS SIMPLES, TABLES ET CHAISES DE CHAMBRE A COUCHER
Montants des actes d’engagement
Société VELSATIS TRAV
 Société_ ETS AIT BENNANI
Lot n° 2: MATELAS A RESSORTS AVEC ACCESSOIRES
Montants des actes dengagement
Société VELSATIS TRAV
Société RICHBOND
‘Société ETS AIT BENNANI
& Société ALFA EQUIPE
Vérification des montants des actes d’engagement des concurrents :
- NEANT
Liste des concurrents écartés
- NEANT
Concurrent retenu :
Lot n° 1: LITS SIMPLES, TABLES ET CHAISES DE CHAMBRE A COUCHER
Montants des actes d'engagement
|. Société ETS AIT BENNANI
Lot n° 2: MATELAS A RESSORTS AVEC ACCESSOIRES
Montants cles actes d'engagement
1. Société ALFA EQUIPE (aprés un tirage 552.000,00
au sort )
Justification du choix de l’attributaire :
** le concurrent « ET$ AIT BENNANI » a présenté l’offre économiquement la plus
avantageuse pour le lot 1.
** le concurrent « Ila société ALFA EQUIPE » a présenté l’offre économiquement la
plus avantageuse pour le lot 2.
Date d’achévement des travaux de la commission : le 09 Janvier 2024 & 14HOO.
Fait a Rabat le 09/01/2024
P, Le Directour Général de In Sdreté Nationale
P, Le Directeur de |""Equipement et du Budget
dolall 4 pad! le President de fa Commission
yibst Ga YF} deg Apkels d’Offres
DIRECTION he | -
Z\ cman /*
DE LA SURETE >
y
EDEL Signe? MBHDI
Page 2/2
"
AOO ...,Fournitures,27/01/2024,51/DGSN/DEB/DF/SA/2023,Objet : l’acquisition de matériel de couchage au profit de la Direction Générale de la Sûreté Nationale à Rabat. (En lot Unique),Acheteur public : DIRECTION GENERALE DE LA SURETE NATIONALE,RABAT,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailConsultation&refConsultation=771472&orgAcronyme=j4k,"ROVAUME DU MAROC
MINISTERE DE L’INTERIEUR
DIRECTION GENERALE DE
LA SURETE NATIONALE
Extrait du procés-verbal de Ia séance d’ouverture des plis relative @ l’Appel d’Offres
Ouvert International N°51/DG$N/DEB/DF/$A/2023.
Objet : L’acquisition de matériel de couchage au profit de la Direction Générale de la
Sdreté Nationale G@ Rabat. (En lot Unique)
Maitre d’ouvrage : Direction Générale de la Sdreté Nationale
Date d’ouverture des plis : 14 Décembre 2023 & 11HOO.
Lieu d’ouverture des plis : Salle des réunions de la Direction de I'Equipement et du
Budget sise rue Abou Marouane Saadi, Agdal Rabat.
Journaux ayant publié l’avis de publicité, avec indication de la date :
[666
(emt De) Fd oad
LES INSPIRATIONS ECO
Date de publication au portail des marchés publics : 16/11/2023
Autres sites électroniques de publication de l’avis, le cas échéant : Néant.
Liste des concurrents ayant déposé leurs plis :
* Société RICHBOND
“* Société WE CONCEPT MAROC
“+ Société COCHED
** Société LILVA EQUIPEMENT
“* Société UNI CONFORT MAROC DOLIDOL
«+ Société AIT BENNANI (ETS)
“+ Société MEDIDIS
“+ Société DYNAMIC TEAM
“* Société ""GETRADEQ""
“+ Société BATIPRO SERVICE
*¢ Société FASHION MOROCCAN COMPANY
Liste des concurrents écartés G@ l’issue de l’examen des dossiers administratifs et
techniques :
“* Société UNI CONFORT MAROC DOLIDOL
“* Société FASHION MOROCCAN COMPANY
Liste des concurrents admis sans réserve :
“- Société WE CONCEPT MAROC
“¢ Société COCHED
“* Société AIT BENNANI (ETS)
“* Société MEDIDIS
“ Société ""GETRADEQ""
“ Société BATIPRO SERVICE
Page 1/2
Liste des concurrents admis avec réserve :
** Société RICHBOND
** Société LILYA EQUIPEMENT
** Société DYNAMIC TEAM
Montant des actes d’engagement des concurrents
Montants des actes dlengagement
4 Société RICHBOND
Société WE CONCEPT MAROC
Société COCHED
Société LILVA EQUIPEMENT
Société AIT BENNANI (ETS)
Société MEDIDIS
3 Société DYNAMIC TEAM
3 Société ""GETRADEQ”
Société BATIPRO SERVICE
Vérification des montants des actes d’engagement des concurrents :
- NEANT
Liste des concurrents écartés
** Société RICHBOND
** Société DYNAMIC TEAM
Concurrent retenu :
Montants des actes dlengagement
Société WE CONCEPT MAROC
Société COCHED
Société LILVA EQUIPEMENT
Société AIT BENNANI (ETS)
& Société MEDIDIS
Société ""GETRADEQ™
Société BATIPRO SERVICE
Justification du choix de l’attributaire :
** la concurrente « société GETRADEO » a présenté l’offre économiquement la plus
avantageuse.
Date d’achévement des travaux de la commission : le 09 Janvier 2024 & 15H20.
ta Rabat le.09/01 (2034 Nationale
SY, P. Le Directeur ce I""Eq::ipement et du Budget
dela daoutlS, *, Le PresiMent de la Commission
ol ol des\ppels Ores
DELA SURE? fx]
CS
€DE As
igné : Abdelhaq MEHDI
Page 2/2
"
AOO ...,Fournitures,27/01/2024,68/DGSN/DEB/DF/SA/2023,Objet : la fourniture de produits alimentaires pour usage humain : fruits frais au profit de l’Ecole de police de Tanger (en lot unique).,Acheteur public : DIRECTION GENERALE DE LA SURETE NATIONALE,TANGER-ASSILAH,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailConsultation&refConsultation=771471&orgAcronyme=j4k,"ROYAUME DU MAROC
MINISTERE DE L’INTERIEUR
DIRECTION GENERALE DE
LA SURETE NATIONALE
EXTRAIT DU PROCES-VERBAL DE LA SEANCE D’OUVERTURE DES PLIS RELATIVE A L’APPEL
D’OFFRES OUVERT INTERNATIONAL N°68/DGSN/DEB/DF/$ A/2023.
Objet : La fourniture de produits alimentaires pour usage humain : Fruits Frais au profit de l’Ecole de
police de Tanger (en lot unique).
Maitre d’ouvrage : Direction Générale de la Sdreté Nationale.
Date d’ouverture des plis : 12 Janvier 2024 4 11HOO.
Lieu d’ouverture des plis : Salle des réunions de la Direction de I'Equipement et du Budget sise rue
Abou Marouane Saadi, Agdal Rabat.
Journaux ayant publié l’avis de publicité, avec indication de la date :
DU
LESINSPIRATIONS ECO_| “| 3496
Date de publication au portail des marchés publics : 11/12/2023
Autres sites électroniques de publication de l’avis, le cas échéant : Néant.
Liste des concurrents ayant déposé leurs plis :
“+ LFARIALI AYOUB
“+ SOCIETE BATI MEZANINE SARL
“+ SOCIETE TOUS VOS BIENS ET SERVICES SARL AU
** ABDELILAH BENTAHRA NEGOCIANT
Liste des concurrents écartés a I’issue de Il’examen des dossiers administratifs et techniques :
- NEANT
Liste des concurrents admis sans réserve :
- SOCIETE BATI MEZANINE
Liste des concurrents admis avec réserve :
- LFARIALI AYOUB
- SOCIETE TOUS VOS BIENS ET SERVICES
- ABDELILAH BENTAHRA NEGOCIANT
Montant des actes d’engagement des concurrents
LFARIALI AYOUB
SOCIETE BATI MEZANINE SARL
SOCIETE TOUS VOS BIENS ET SERVICES
SARL AU BH0-100,00
ABDELILAH BENTAHRA NEGOCIANT 976.900,00
Page 1/2
Vérification des montants des actes d’engagement des concurrents :
MONTANTS DES ACTES D’ENGAGEMENT
APRES VERIFICATION
__MINENDHSTTC | MAXENDHSTTC |
LFARIALI AYOUB
SOCIETE BATI MEZANINE SARL
SOCIETE TOUS VOS BIENS ET SERVICES
ABDELILAH BENTAHRA NEGOCIANT
Liste des concurrents écartés
- NEANT
Concurrent retenu :
| _MINENDHSTTC | MAXENDHSTIC _
SOCIETE TOUS VOS BIENS ET SERVICES
Justification du choix de l’attributaire : le concurrent «Société TOUS VOS$ BIENS ET SERVICES SARL
AU>» a présenté l’offre économiquement la plus avantageuse.
Date d’achévement des travaux de la commission : le 18 Janvier 2024 @ 14H25.
Fait a Rabat le 18/01/2024
P. Le Directeur C*néral de la SOreté Nationale
(el SD _P, Le Directeur ds |""Eqcipement et du Budget
: : EY le President de 1a Commission
* Mbyte \ ‘ des Apgels o* Offres
DIRECTION 5 .
. 4 GENERALE:
BN DELASURETE 2S . =
Aw
RE DEY ss igné : haq MEHDI
Page 2/2
"
AOO ...,Fournitures,26/01/2024,106/2023/S2A,Objet : FOURNITURE ET INSTALLATION DU MATERIELS ET EQUIPEMENTS MEDICAUX DE LA CLINIQUE DE JOUR DE LA VILLE D’AGADIR LOT EQUIPEMENTS DE CARDIOLOGIE,Acheteur public : Société de Développement Local Agadir Souss Massa Aménagement SA,"MAROC
AGADIR IDA OU TANANE
...",https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailConsultation&refConsultation=771468&orgAcronyme=g3h,"Royaume du Maroc
\
oQoNEO O80 CoOOc oLElof[C8I
Agadir Souss Massa Aménagement
RESULTAT DEFINITIF DE L’APPEL D’OFFRES
N°106/2023/S2A
Maitre d’ouvrage : Agadir Souss Massa Aménagement.
Objet de l’appel d’offres ouvert : : FOURNITURE ET INSTALLATION DU MATERIELS ET EQUIPEMENTS MEDICAUX DE LA CLINIQUE DE JOUR DE LA VILLE
D’AGADIR - LOT EQUIPEMENTS DE CARDIOLOGIE.
Date
sn een Objet du lot douverture des Beemer Concurrent retenu ecg ieee lice
du lot I lis des travaux de la retenues en DH TTC
P commission
Fourniture et installation du matériels et équipements . x
médicaux de la clinique de jour de la ville d’Agadir | 08/12/2023 | 09/01/2024 a INFRUCTUEUX INFRUCTUEUX
, . . 11h00 12h00
- lot équipements de cardiologie.
Pour le président de la commission
SEEMS + MASSA AMENAGEMENT
($( \\%:\ Directeur du pole support
\'< \ )o) M.FIKRILEHMAME
"
AOO ...,Travaux,26/01/2024,118/2023/S2A,"Objet : TRAVAUX DE REALISATION DU PARC URBAIN ""AL INBIAAT"" DE LA VILLE D’AGADIR : LOT N°8 : TRAVAUX D'ACHEVEMENT D’ECLAIRAGE PUBLIC",Acheteur public : Société de Développement Local Agadir Souss Massa Aménagement SA,"MAROC
AGADIR IDA OU TANANE
...",https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailConsultation&refConsultation=771467&orgAcronyme=g3h,"Royaume du Maroc
\
oQoNEO O80 CoOOc oLElof[C8I
Agadir Souss Massa Aménagement
RESULTAT DEFINITIF DE L’APPEL D’OFFRES
N°118/2023/S2A
Maitre d’ouvrage : Agadir Souss Massa Aménagement.
Objet de l’appel d’offres ouvert: TRAVAUX DE REALISATION DU PARC URBAIN ""AL INBIAAT"" DE LA VILLE D’AGADIR :
LOT N°8 : TRAVAUX D'ACHEVEMENT D’ECLAIRAGE PUBLIC.
Date et h mais
Indication Objet du lot d’ a . “ ede d’achevement Concurrent reten Montant des offres
du lot ler au te ouve lig © ees | des travaux de la oncurrent retenv | retenues en DH TTC
P commission
TRAVAUX DE REALISATION DU PARC URBAIN ""A
INBIAAT"" DE LA VILLE D’AGADIR : 29/12/2023 a 19/01/2024 a SOCIETE LAMALIF 9.932.700 .00
LOT N°8 : TRAVAUX D'ACHEVEMENT 10h00 18h30 GROUP — ’
D’ECLAIRAGE PUBLIC.
Pour le président de la commission
/ Le MAS +. SAGADIR SOUSS MASSA AWENAGEMENT
f S/ \ ‘ Directeur du pole support
(=e) | M. FIKRI LEHMAME
"
AOO ...,Travaux,26/01/2024,39/2023,"Objet : TRAVAUX DE CONSTRUCTION DU CENTRE D’INNOVATION ET D’ENTREPRENEURIAT A L’ECOLE HASSANIA DES TRAVAUX PUBLICS A LA PREFECTURE DE CASABLANCA, REGION CASABLANCA-SETTAT. EN LOT UNIQUE. ...",Acheteur public : AGENCE REGIONALE D'EXECUTION DES PROJETS CASABLANCA SETTAT,CASABLANCA,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailConsultation&refConsultation=771463&orgAcronyme=a1z,"KeptpBhl ae col
Royaume du Maroc
AGENCE REGIONALE A a
Lill D'EXECUTION DES PROJETS
AREP Seeoetntre ane
Sees cree,”
RA GION CASASLANGA-SETTAT
| EXTRAIT DE PROCES VERBAL DE L’ APPEL D’OFFRES OUVERT NATIONAL N° 39/2023
OBJET : TRAVAUX DE CONSTRUCTION DU CENTRE D’INNOVATION ET
D’ENTREPRENEURIAT A L’ECOLE HASSANIA DES TRAVAUX PUBLICS A LA
PREFECTURE DE CASABLANCA, REGION CASABLANCA-SETTAT. EN LOT UNIQUE.
- Lotissement : Lot Unique.
- Maitre d’ouvrage : Agence Régionale d’exécution des projets — Casablanca-Settat.
- Date d’ouverture des plis : 26/12/2023.
- Lieu d’ouverture des plis : Bureaux de |’ Agence Régionale d’exécution des projets — Casablanca-
Settat.
- Journaux ayant publié :
L’avis de publicité :
© Journal en langue arabe : ASSAHRA AL MAGHRIBIA du 30/11/2023.
o Journal en langue francaise : LE MATIN du 30/11/2023.
o Portail des marchés publics : www.marchespublics.gov.ma a partir du 30/11/2023.
Liste des concurrents ayant déposé leurs plis électroniquement :
o SOCIETE SECURITE ELECTRONIQUES ET TECHNIQUES DE BATIMENTS SARL AU
(SELTEB) ;
o SOCIETE SINASAR SARL ;
o SOCIETE DARTRAV SARL ;
o SOCIETE SODICOTRA SARL ;
o SOCIETE ETAB TRAVAUX SARL.AU ;
o SOCTIETE EDIFICES BERKIA SARL ;
eo SOCIETE SKMR TRAVAUX SARL.
Liste des concurrents écartés 4 l’issue de l’examen des dossiers administratifs et Techniques : Néant.
Liste des concurrents admissibles sans réserve :
o SOCIETE SECURITE ELECTRONIQUES ET TECHNIQUES DE BATIMENTS SARL AU
(SELTEB) ;
o SOCIETE DARTRAV SARL;
o SOCIETE ETAB TRAVAUX SARL.AU ;
co SOCIETE EDIFICES BERKIA SARL ;
o SOCIETE SKMR TRAVAUX SARL.
Liste des concurrents admissibles avec réserve :
o SOCIETE SINASAR SARL ;
o SOCIETE SODICOTRA SARL ;
Liste des concurrents écartés a issue de l’examen des offres financiéres :
o SOCIETE SECURITE ELECTRONIQUES ET TECHNIQUES DE BATIMENTS SARL AU
(SELTEB).
Liste des concurrents admissibles 4 l’issue de l’examen des offres financieéres :
o SOCIETE SINASAR SARL ;
o SOCIETE DARTRAV SARL ;
o SOCIETE SODICOTRA SARL ;
o SOCIETE ETAB TRAVAUX SARL.AU ;
o SOCIETE EDIFICES BERKIJA SARL ;
o SOCIETE SKMR TRAVAUX SARL.
Page 1|2
Sgyeiil a Lats
Royautns du Maron
AGENCE REGIONALE Gq
ii] | D'EXECUTION DES PROJETS &
AREP Coes eo eane
tkaay-elAg tisha
AIGION CASI ANCACSETTAT
- a | —s MONTANT DE L’ACTE -
D’ENGAGEMENT
EN DH TTC
CONCURRENT -— ——— CLASSEMENT
| AVANT APRES
VERIFICATION VERIFICATION
EN DH TTC EN DH TTC
SOCIETE ETAB TRAVAUX SARL.AU | 3.022.036,20 3.022.036,20 1 |
SOCIETE SODICOTRA SARL | 3.144.849,60 3.152.049,60 2
SOCIETE SINASAR SARL | 3.297.054,00 3.297.054,00 3
SOCIETE EDIFICES BERKIA SARL 3.297.912,00 3.297.912,00 4 |
SOCIETE DARTRAV SARL 3.421.984,80 3.421.984,80 | 5
SOCIETE SKMR TRAVAUX SARL 3.434.757,60 3.434.757,60 6 |
Résultat définitif de ’appel d’offres :
| 1 | MONTANT DE L’ACTE
CONCURRENT ATEBIBUPSIBE D°’ENGAGEMENT
| SOCIETE ETAB TRAVAUX SARL.AU 3.022.036,20 DH FTC
Justification du choix de l’attributaire ; L’ offre financiére Ja mieux—disante par rapport au prix de référence.
Date d’achévement des travaux de la commission : 26/01/2024.
Fait 4 Casablanca, le 26/01/2024
La présidente de la commission
.— | :
E : a =
Page 2[2
"
CONSA ...,Services,26/01/2024,136/2023,"Objet : consultation architecturale relative à l’élaboration des études architecturales et suivi des travaux de construction d’une bibliothèque, d’un foyer féminin et réaménagement d’un terrain de sport sis à la Commune ...",Acheteur public : SOCIETE AL OMRANE MARRAKECH,MARRAKECH,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailConsultation&refConsultation=771450&orgAcronyme=j8k,
AOO ...,Fournitures,26/01/2024,DT4121313,"Objet : Acquisition de quatre groupes électrogènes pour la Direction Provinciales ESSAOUIRA, SAFI et EL KELAA",Acheteur public : OFFICE NATIONALE DE L'ELECTRICITE ET DE L'EAU POTABLE - BRANCHE ELECTRICITE,MARRAKECH,https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailConsultation&refConsultation=771449&orgAcronyme=d4q,"ROYAUME DU MAROC Ay AL) ALL
Office National de I'Electricité et de I’Eau Potable pl cSLaaSh ctl 5 oly gSU cb yl 2S
Branche Electricité ely SD ¢- Lhd
Cadre des résultats définitifs d’appel d’offres
Appel d’offres n°DT4121313
Objet : Acquisition de Groupes Electrogénes pour les DP Essaouira, KELAA et SAFI.
Date eth Date Montant de l'off
Indication . a € etneure d'achévement Concurrent onkant de © one
Objet du lot d‘ouverture retenue
du lot ; des travaux de la retenu
des plis —
Commission
Acquisition de Groupes
Y 2 '
vnluue Electrogenes pour les DP | 15/11/2023 | 24/01/2024 | MAGIDEUTZ on ESTER
Essaouira, KELAA et SAFI.
A Casablanca, OY. fi: Auf
Le Président de la Commission d’AO :
Daie \/
!
\ |
ROYAUME DU MAROC Ay all aL
Office National de |'Electricité et de |'Eau Potable pl Stall ell 5 clygSU cb yl 2
Branche Electricité ela yeSll ¢ Ld
Extrait du procés-verbal de la séance d'appel d'offres
Appel d’offres N°DT4121313
Objet : Acquisition de Groupes Electrogénes pour les DP Essaouira, KELAA et SAFI.
Date d'ouverture des plis : 15/11/2023
Lieu d‘ouverture des plis : Commission Centrale (DISTRIBUTION/DAM) & Casablanca.
Sites électroniques de publication de I'avis : PMMP et Internet.
Liste des concurrents ayant déposé un pli : BRICO FIRST SERVICES, MAGIDEUTZ, SEHI et SOFA.
Liste des concurrents évincés a l'issue de |’examen des dossiers administratifs : Néant.
Liste des concurrents évincés a l'issue de l’examen des offres techniques : BRICO FIRST SERVICES & SEHI.
Liste des concurrents admissibles avec réserve : Néant.
Montant des actes d’engagement des concurrents :
Montants des actes d’engagement en DH/Hors TVA
MAGIDEUTZ 2 063 168,35 DH/HTVA
Vérification des montants des actes d'engagement des concurrents :
Concurrenis Montants des actes d’engagement apres vérifications et
rectifications éventuelles
MAGIDEUTZ 2 063 168,35 DH/HTVA
Liste des concurrents écartés : NEANT
Le{s) concurrent(s) retenu(s) :
Concurrent(s) retenu({s) Montants des actes d’engagement
MAGIDEUTZ 2 475 802,02 DH/TVA Comprise
Justification du choix de l’attributaire : moins disant conforme
Date d’achévement des travaux de la Commission d’appel d’offres :
Fait 4 Casablanca, le pat
Le Président a v7 :
Ke
"
AOO ...,Services,26/01/2024,111/AREPFM/2023,"Objet : ETUDE D’ALIMENTATION EN EAU POTABLE DES DOUARS RELEVANTS DES PROVINCES D’EL HAJEB ET IFRANE, REGION FES MEKNES - EN LOT UNIQUE-",Acheteur public : AGENCE REGIONALE D'EXECUTION DES PROJETS DE LA REGION FES-MEKNES,"EL-HAJEB
IFRANE
...",https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailConsultation&refConsultation=771445&orgAcronyme=e5w,
AOO ...,Services,26/01/2024,111/AREPFM/2023,"Objet : ETUDE D’ALIMENTATION EN EAU POTABLE DES DOUARS RELEVANTS DES PROVINCES D’EL HAJEB ET IFRANE, REGION FES MEKNES - EN LOT UNIQUE-",Acheteur public : AGENCE REGIONALE D'EXECUTION DES PROJETS DE LA REGION FES-MEKNES,"EL-HAJEB
IFRANE
...",https://www.marchespublics.gov.ma/?page=entreprise.EntrepriseDetailConsultation&refConsultation=771444&orgAcronyme=e5w,"ADCN eujliiiotl A. a2i5J Gag gal UiSgl ,
FY at Be LF ON0.5+ | toClE 1 OREO | LOHESI oo.
PF. PL2 AGENCE REGIONALE D’EXECUTION DES PROJETS. —Sy>—
REGION FES MEKNES-#¢.ClE+ | KO CRO - ywwliso yl 14 a>
Résultat définitif de ’appel d’offres ouvert sur
offres de prix n° 111/AREP-FM/2023
> Maitre d’ouvrage: Le Directeur de l’ Agence Régionale d’Exécution des Projets de la
Région Fés-Meknés.
Objet de l’appel d’offres : ETUDE D’ALIMENTATION EN EAU POTABLE DES DOUARS
RELEVANTS DES PROVINCES D’EL HAJEB ET IFRANE, REGION FES MEKNES - EN
LOT UNIQUE-
: seeiles Daleet: pains
Indication heure Aeslea vans Giniconcaeivan Montant de l’offre retenue en
dulot | d’ouvertur Dhs TTC
hig eet ean ae de la SSeS |S aes Soaks
edes plis pra : sees eee ae apes
commission
Cing Cent Quatre Mille
Lot 30/11/2023 26/01/2024 ee Dirhams Toutes Taxes
Unique 4 11h00 4 11h00 a Lee Bes Comprises (504 000,00Dhs
a oe S am CONSEILS SARL ,
TEC):
Fait 4 Meknés le : 26/01/2024
Goa
x % \#
i 436 3
\% 335 8
23% 9/5,
Vo wane”
"
